trial_type,trial_num,location,verb_0,amount_0,verb_1,amount_1,number_0,price_0,objectID_0_0,number_1,price_1,store_0,object_0,object_1,objectID_1_0,store_1,workerid
simple,8,bathroom,costs,$500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d56646442c5aba41d0cf69f05cfb9ecb
simple,9,bathroom,costs,$50,weighs,50 pounds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d56646442c5aba41d0cf69f05cfb9ecb
simple,10,bathroom,costs,$20,weighs,15 pounds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d56646442c5aba41d0cf69f05cfb9ecb
simple,11,bedroom,costs,$20,weighs,15 pounds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d56646442c5aba41d0cf69f05cfb9ecb
simple,12,study,costs,$20,weighs,50 pounds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d56646442c5aba41d0cf69f05cfb9ecb
simple,13,kitchen,costs,$20,weighs,5 pounds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d56646442c5aba41d0cf69f05cfb9ecb
simple,14,study,costs,$50,weighs,50 pounds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d56646442c5aba41d0cf69f05cfb9ecb
simple,15,study,costs,$500,weighs,50 pounds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d56646442c5aba41d0cf69f05cfb9ecb
simple,16,bathroom,costs,$20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d56646442c5aba41d0cf69f05cfb9ecb
simple,17,kitchen,costs,$50,weighs,15 pounds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d56646442c5aba41d0cf69f05cfb9ecb
simple,18,bathroom,costs,$50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d56646442c5aba41d0cf69f05cfb9ecb
simple,19,kitchen,costs,$50,weighs,5 pounds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d56646442c5aba41d0cf69f05cfb9ecb
simple,20,kitchen,costs,$20,weighs,15 pounds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d56646442c5aba41d0cf69f05cfb9ecb
complex,21,different,NA,NA,NA,NA,4,$100,suitcase,2,$30,business,"folder,pen,calculator",pan,spatula,cooking,d56646442c5aba41d0cf69f05cfb9ecb
complex,22,same,NA,NA,NA,NA,2,$1000,laptop,1,$50,computer,keyboard,mouse,NA,NA,d56646442c5aba41d0cf69f05cfb9ecb
complex,23,same,NA,NA,NA,NA,2,$100,table,1,$50,furniture,clock,dresser,NA,NA,d56646442c5aba41d0cf69f05cfb9ecb
complex,24,different,NA,NA,NA,NA,2,$100,hat,2,$30,apparel,sunglasses,shirt,socks,clothing,d56646442c5aba41d0cf69f05cfb9ecb
simple,1,bathroom,costs,$20,weighs,5 pounds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56e79a4e002696661e1e87e7bc0e9232
simple,2,bedroom,costs,$500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56e79a4e002696661e1e87e7bc0e9232
