trial_type,trial_num,location,verb_0,generalAmount_0,amount_0,verb_1,generalAmount_1,amount_1,object_0,number_0,price_0,objectID_0_0,number_1,price_1,store_0,object_1,objectID_1_0,store_1,workerid
complex,25,same,NA,NA,NA,NA,NA,NA,sneakers,1,$50,NA,3,$30,shoe,"sneakers,mules",pair of sandals,NA,1b0ebd82361794ea6911670730081a8c
complex,26,different,NA,NA,NA,NA,NA,NA,"pants,shirt",3,$100,suitcase,2,$30,department,bowl,spatula,outlet,1b0ebd82361794ea6911670730081a8c
complex,27,same,NA,NA,NA,NA,NA,NA,champagne,2,$100,bottle of wine,1,$10,liquor,wine,NA,NA,1b0ebd82361794ea6911670730081a8c
complex,28,different,NA,NA,NA,NA,NA,NA,coat,2,$100,hat,2,$30,department,slippers,socks,outlet,1b0ebd82361794ea6911670730081a8c
complex,29,same,NA,NA,NA,NA,NA,NA,sunglasses,2,$30,magazine,2,$200,outlet,bullets,shotgun,NA,1b0ebd82361794ea6911670730081a8c
complex,30,same,NA,NA,NA,NA,NA,NA,belt,2,$10,socks,1,$20,department,pants,NA,NA,1b0ebd82361794ea6911670730081a8c
simple,1,kitchen,costs,low,$5,weighs,low,5 pounds,sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,7979631232b683b733f7f4292e89a7c7
simple,2,living room,costs,high,$600,weighs,low,4 pounds,TV,NA,NA,NA,NA,NA,NA,NA,NA,NA,7979631232b683b733f7f4292e89a7c7
simple,3,kitchen,costs,low,$13,weighs,medium,11 pounds,skillet,NA,NA,NA,NA,NA,NA,NA,NA,NA,7979631232b683b733f7f4292e89a7c7
simple,4,bedroom,costs,medium,$90,NA,NA,NA,duvet,NA,NA,NA,NA,NA,NA,NA,NA,NA,7979631232b683b733f7f4292e89a7c7
simple,5,basement,costs,low,$5,weighs,low,1.5 pounds,hammer,NA,NA,NA,NA,NA,NA,NA,NA,NA,7979631232b683b733f7f4292e89a7c7
simple,6,bedroom,costs,high,$300,weighs,medium,16 pounds,TV,NA,NA,NA,NA,NA,NA,NA,NA,NA,7979631232b683b733f7f4292e89a7c7
simple,7,kitchen,costs,medium,$90,NA,NA,NA,microwave,NA,NA,NA,NA,NA,NA,NA,NA,NA,7979631232b683b733f7f4292e89a7c7
simple,8,bedroom,costs,medium,$90,weighs,medium,11 pounds,nightstand,NA,NA,NA,NA,NA,NA,NA,NA,NA,7979631232b683b733f7f4292e89a7c7
simple,9,living room,costs,high,$500,weighs,high,90 pounds,sofa,NA,NA,NA,NA,NA,NA,NA,NA,NA,7979631232b683b733f7f4292e89a7c7
simple,10,living room,costs,medium,$80,weighs,high,55 pounds,armchair,NA,NA,NA,NA,NA,NA,NA,NA,NA,7979631232b683b733f7f4292e89a7c7
simple,11,bedroom,costs,low,$18,weighs,low,4.5 pounds,shelf,NA,NA,NA,NA,NA,NA,NA,NA,NA,7979631232b683b733f7f4292e89a7c7
simple,12,study,costs,medium,$40,weighs,medium,11 pounds,book,NA,NA,NA,NA,NA,NA,NA,NA,NA,7979631232b683b733f7f4292e89a7c7
simple,13,living room,costs,medium,$60,NA,NA,NA,decor,NA,NA,NA,NA,NA,NA,NA,NA,NA,7979631232b683b733f7f4292e89a7c7
simple,14,bedroom,costs,low,$18,NA,NA,NA,lamp,NA,NA,NA,NA,NA,NA,NA,NA,NA,7979631232b683b733f7f4292e89a7c7
simple,15,kitchen,costs,high,$500,weighs,low,1.5 pounds,blender,NA,NA,NA,NA,NA,NA,NA,NA,NA,7979631232b683b733f7f4292e89a7c7
simple,16,bedroom,costs,low,$13,weighs,medium,10 pounds,trunk,NA,NA,NA,NA,NA,NA,NA,NA,NA,7979631232b683b733f7f4292e89a7c7
simple,17,study,costs,low,$13,weighs,medium,13 pounds,paperweight,NA,NA,NA,NA,NA,NA,NA,NA,NA,7979631232b683b733f7f4292e89a7c7
simple,18,kitchen,costs,high,$500,NA,NA,NA,stove,NA,NA,NA,NA,NA,NA,NA,NA,NA,7979631232b683b733f7f4292e89a7c7
simple,19,study,costs,high,$750,NA,NA,NA,desk,NA,NA,NA,NA,NA,NA,NA,NA,NA,7979631232b683b733f7f4292e89a7c7
simple,20,living room,costs,low,$13,weighs,low,2 pounds,candle,NA,NA,NA,NA,NA,NA,NA,NA,NA,7979631232b683b733f7f4292e89a7c7
simple,21,bathroom,costs,high,$400,weighs,medium,11 pounds,vanity,NA,NA,NA,NA,NA,NA,NA,NA,NA,7979631232b683b733f7f4292e89a7c7
simple,22,living room,costs,medium,$70,weighs,low,5 pounds,bluray,NA,NA,NA,NA,NA,NA,NA,NA,NA,7979631232b683b733f7f4292e89a7c7
simple,23,kitchen,costs,low,$13,NA,NA,NA,toaster,NA,NA,NA,NA,NA,NA,NA,NA,NA,7979631232b683b733f7f4292e89a7c7
simple,24,basement,costs,medium,$90,weighs,medium,15 pounds,drill,NA,NA,NA,NA,NA,NA,NA,NA,NA,7979631232b683b733f7f4292e89a7c7
complex,25,same,NA,NA,NA,NA,NA,NA,chair,2,$100,table,1,$10,department,decor,NA,NA,7979631232b683b733f7f4292e89a7c7
complex,26,different,NA,NA,NA,NA,NA,NA,"totebag,purse",3,$500,suitcase,2,$30,department,ladle,spatula,homegoods,7979631232b683b733f7f4292e89a7c7
complex,27,same,NA,NA,NA,NA,NA,NA,boots,1,$50,NA,3,$30,shoe,"socks,laces",pair of sandals,NA,7979631232b683b733f7f4292e89a7c7
complex,28,same,NA,NA,NA,NA,NA,NA,hats,2,$10,socks,1,$20,clothing,sweater,NA,NA,7979631232b683b733f7f4292e89a7c7
complex,29,different,NA,NA,NA,NA,NA,NA,coat,2,$100,hat,2,$30,clothing,sandals,socks,shoe,7979631232b683b733f7f4292e89a7c7
complex,30,different,NA,NA,NA,NA,NA,NA,book,2,$30,magazine,2,$200,book,ammo,shotgun,sporting,7979631232b683b733f7f4292e89a7c7
simple,1,basement,costs,low,$8,NA,NA,NA,detergent,NA,NA,NA,NA,NA,NA,NA,NA,NA,622e60a6177f87df7fcca0805f5e1133
simple,2,living room,costs,high,$400,weighs,high,40 pounds,couch,NA,NA,NA,NA,NA,NA,NA,NA,NA,622e60a6177f87df7fcca0805f5e1133
simple,3,living room,costs,medium,$50,weighs,medium,16 pounds,ottoman,NA,NA,NA,NA,NA,NA,NA,NA,NA,622e60a6177f87df7fcca0805f5e1133
simple,4,basement,costs,low,$18,weighs,medium,17 pounds,bookshelf,NA,NA,NA,NA,NA,NA,NA,NA,NA,622e60a6177f87df7fcca0805f5e1133
simple,5,living room,costs,high,$250,weighs,medium,12 pounds,loveseat,NA,NA,NA,NA,NA,NA,NA,NA,NA,622e60a6177f87df7fcca0805f5e1133
simple,6,bathroom,costs,medium,$70,NA,NA,NA,toilet,NA,NA,NA,NA,NA,NA,NA,NA,NA,622e60a6177f87df7fcca0805f5e1133
simple,7,bedroom,costs,low,$10,weighs,medium,17 pounds,nightstand,NA,NA,NA,NA,NA,NA,NA,NA,NA,622e60a6177f87df7fcca0805f5e1133
simple,8,basement,costs,medium,$70,NA,NA,NA,saw,NA,NA,NA,NA,NA,NA,NA,NA,NA,622e60a6177f87df7fcca0805f5e1133
simple,9,study,costs,medium,$40,weighs,high,85 pounds,desk,NA,NA,NA,NA,NA,NA,NA,NA,NA,622e60a6177f87df7fcca0805f5e1133
simple,10,bedroom,costs,low,$5,NA,NA,NA,hairbursh,NA,NA,NA,NA,NA,NA,NA,NA,NA,622e60a6177f87df7fcca0805f5e1133
simple,11,study,costs,medium,$90,NA,NA,NA,chair,NA,NA,NA,NA,NA,NA,NA,NA,NA,622e60a6177f87df7fcca0805f5e1133
simple,12,kitchen,costs,high,$1000,weighs,low,3 pounds,mixer,NA,NA,NA,NA,NA,NA,NA,NA,NA,622e60a6177f87df7fcca0805f5e1133
simple,13,bedroom,costs,medium,$40,weighs,high,90 pounds,dresser,NA,NA,NA,NA,NA,NA,NA,NA,NA,622e60a6177f87df7fcca0805f5e1133
simple,14,study,costs,medium,$60,weighs,medium,17 pounds,shelf,NA,NA,NA,NA,NA,NA,NA,NA,NA,622e60a6177f87df7fcca0805f5e1133
simple,15,bedroom,costs,medium,$50,weighs,medium,11 pounds,book,NA,NA,NA,NA,NA,NA,NA,NA,NA,622e60a6177f87df7fcca0805f5e1133
simple,16,kitchen,costs,high,$600,weighs,high,45 pounds,stove,NA,NA,NA,NA,NA,NA,NA,NA,NA,622e60a6177f87df7fcca0805f5e1133
simple,17,bedroom,costs,high,$750,NA,NA,NA,headboard,NA,NA,NA,NA,NA,NA,NA,NA,NA,622e60a6177f87df7fcca0805f5e1133
simple,18,bathroom,costs,high,$1000,NA,NA,NA,shower,NA,NA,NA,NA,NA,NA,NA,NA,NA,622e60a6177f87df7fcca0805f5e1133
simple,19,bathroom,costs,medium,$90,weighs,low,4.5 pounds,shelf,NA,NA,NA,NA,NA,NA,NA,NA,NA,622e60a6177f87df7fcca0805f5e1133
simple,20,kitchen,costs,low,$20,weighs,medium,15 pounds,coffeemaker,NA,NA,NA,NA,NA,NA,NA,NA,NA,622e60a6177f87df7fcca0805f5e1133
simple,21,living room,costs,medium,$50,NA,NA,NA,decoration,NA,NA,NA,NA,NA,NA,NA,NA,NA,622e60a6177f87df7fcca0805f5e1133
simple,22,bathroom,costs,high,$750,weighs,high,85 pounds,bathtub,NA,NA,NA,NA,NA,NA,NA,NA,NA,622e60a6177f87df7fcca0805f5e1133
simple,23,basement,costs,high,$300,weighs,high,50 pounds,washer,NA,NA,NA,NA,NA,NA,NA,NA,NA,622e60a6177f87df7fcca0805f5e1133
simple,24,bathroom,costs,low,$10,weighs,high,85 pounds,tile,NA,NA,NA,NA,NA,NA,NA,NA,NA,622e60a6177f87df7fcca0805f5e1133
complex,25,different,NA,NA,NA,NA,NA,NA,jacket,2,$100,hat,2,$30,clothing,underwear,socks,department,622e60a6177f87df7fcca0805f5e1133
complex,26,different,NA,NA,NA,NA,NA,NA,book,2,$30,magazine,2,$200,convenience,bullets,shotgun,gun,622e60a6177f87df7fcca0805f5e1133
complex,27,same,NA,NA,NA,NA,NA,NA,shirt,2,$10,socks,1,$2000,thrift,couch,NA,NA,622e60a6177f87df7fcca0805f5e1133
complex,28,same,NA,NA,NA,NA,NA,NA,whiskey,2,$100,bottle of wine,1,$10,liqour,beer,NA,NA,622e60a6177f87df7fcca0805f5e1133
complex,29,different,NA,NA,NA,NA,NA,NA,"carryon,bag",3,$500,suitcase,2,$30,luggage,bowl,spatula,kitchen,622e60a6177f87df7fcca0805f5e1133
complex,30,same,NA,NA,NA,NA,NA,NA,heels,1,$50,NA,3,$30,show,"socks,shoes",pair of sandals,NA,622e60a6177f87df7fcca0805f5e1133
simple,1,kitchen,costs,high,$400,NA,NA,NA,refrigerator,NA,NA,NA,NA,NA,NA,NA,NA,NA,0cafcc751e8f07bdbfcfb0670fdbbff0
simple,2,basement,costs,low,$18,weighs,low,2.5 pounds,lamp,NA,NA,NA,NA,NA,NA,NA,NA,NA,0cafcc751e8f07bdbfcfb0670fdbbff0
simple,3,living room,costs,medium,$80,NA,NA,NA,table,NA,NA,NA,NA,NA,NA,NA,NA,NA,0cafcc751e8f07bdbfcfb0670fdbbff0
simple,4,basement,costs,medium,$40,weighs,medium,17 pounds,stool,NA,NA,NA,NA,NA,NA,NA,NA,NA,0cafcc751e8f07bdbfcfb0670fdbbff0
simple,5,bathroom,costs,medium,$60,NA,NA,NA,mirror,NA,NA,NA,NA,NA,NA,NA,NA,NA,0cafcc751e8f07bdbfcfb0670fdbbff0
